time,latitude,longitude,depth,mag
2024-12-31T20:09:41.043Z,-6.6675,150.5771,10.0,5.1
2024-12-31T17:09:39.374Z,-4.05,151.6351,14.523,5.0
2024-12-30T02:56:16.807Z,18.4391,120.9038,34.0,5.5
2024-12-27T19:10:05.808Z,37.3695,141.5863,45.48,5.3
2024-12-27T18:42:59.930Z,9.6146,126.2289,63.0,5.4
2024-12-27T12:47:37.696Z,47.2996,151.236,146.0,6.8
2024-12-27T10:43:49.391Z,19.5156,144.7414,416.134,5.3
2024-12-27T09:30:54.099Z,12.1603,143.9297,10.0,5.3
2024-12-26T21:02:25.395Z,30.5023,141.8517,7.0,5.8
2024-12-26T10:26:20.024Z,8.473,125.927,24.23,5.3
2024-12-23T04:51:08.666Z,-11.0805,165.8553,57.023,5.0
2024-12-22T02:31:24.140Z,-10.954,162.6049,45.912,5.1
2024-12-20T22:29:02.221Z,29.4923,81.6099,10.0,5.0
2024-12-20T19:26:14.415Z,-6.9992,131.8226,10.0,5.0
2024-12-20T18:22:39.340Z,-6.4479,105.0901,54.956,5.0
2024-12-20T14:33:08.570Z,-11.79,166.1011,25.974,5.4
2024-12-20T14:10:42.216Z,-11.7728,166.1893,13.051,5.0
2024-12-19T19:22:19.211Z,11.9512,126.6021,10.0,5.1
2024-12-19T06:55:00.503Z,17.6226,119.6247,10.0,5.1
2024-12-19T06:42:24.830Z,17.6019,119.5289,10.0,5.1
2024-12-19T01:09:51.222Z,17.608,119.5738,10.0,5.1
2024-12-17T21:41:09.942Z,-6.7821,130.2227,128.765,5.2
2024-12-17T11:05:37.249Z,5.1686,127.4188,138.792,5.0
2024-12-17T07:37:38.870Z,9.6861,122.6582,35.0,5.1
2024-12-17T04:09:33.867Z,31.0848,130.3315,162.337,5.4
2024-12-16T14:07:48.936Z,13.211,145.6385,19.076,5.0
2024-12-16T10:14:44.155Z,-3.8297,129.3035,24.808,5.5
2024-12-16T03:50:05.045Z,-1.2187,99.8064,57.78,5.1
2024-12-15T21:42:38.965Z,52.864,160.2654,39.447,5.1
2024-12-15T01:33:55.296Z,-8.3288,157.1814,10.0,5.1
2024-12-15T00:07:53.316Z,-9.3134,67.0775,10.0,5.1
2024-12-14T17:38:15.481Z,1.5829,126.5578,36.664,5.2
2024-12-12T19:55:19.950Z,30.5343,141.8867,10.0,5.1
2024-12-11T10:23:35.347Z,-4.3369,102.6968,68.478,5.1
2024-12-09T17:25:21.272Z,-9.106,66.8004,10.0,5.6
2024-12-09T08:21:04.403Z,-6.6387,103.9098,35.0,5.1
2024-12-08T10:25:00.081Z,48.867,152.3071,207.0,6.0
2024-12-08T02:44:29.538Z,1.2221,126.3376,36.878,5.0
2024-12-07T09:41:25.968Z,-2.1059,124.4895,10.0,5.1
2024-12-06T17:15:00.515Z,1.5039,121.1742,32.854,5.5
2024-12-05T06:21:22.894Z,32.8339,73.7141,10.0,5.2
2024-12-04T16:53:01.908Z,24.8543,128.0555,10.0,5.0
2024-12-04T01:56:58.775Z,18.4471,80.3296,10.0,5.0
2024-12-04T00:09:30.407Z,23.6859,123.2599,10.0,5.0
2024-12-03T18:54:41.788Z,18.5003,120.7963,34.0,5.7
2024-12-03T16:57:07.550Z,53.9198,160.4762,65.559,5.0
2024-12-03T16:09:11.776Z,4.8557,126.4225,14.196,5.1
2024-12-02T01:01:11.804Z,13.1373,146.9085,10.0,5.0
2024-11-30T10:33:40.240Z,17.5037,145.8664,198.532,5.1
2024-11-30T09:07:01.883Z,23.8314,123.383,19.908,5.2
2024-11-30T08:46:16.409Z,25.3021,126.0218,49.015,5.7
2024-11-27T21:58:45.297Z,15.4608,120.8046,182.0,5.7
2024-11-27T20:34:40.038Z,48.5992,100.2142,10.0,5.0
2024-11-27T08:59:03.951Z,9.1414,126.6882,6.194,5.0
2024-11-26T21:01:48.220Z,49.307,155.4628,51.585,5.4
2024-11-26T13:47:03.411Z,36.9549,136.3653,8.0,6.1
2024-11-26T07:55:04.469Z,-2.903,129.3838,10.0,5.0
2024-11-26T04:31:21.640Z,38.7149,142.1147,44.201,5.3
2024-11-25T15:37:42.187Z,29.2609,140.7624,94.022,5.0
2024-11-23T14:43:18.846Z,-4.1071,142.954,89.517,5.0
2024-11-23T10:47:50.678Z,-2.8084,145.7523,10.0,5.1
